time_utc,latitude,longitude,depth,errh_km,errz_km,nbranch,cid,id,rmsP,rmsS
2004-06-26T13:11:48.802000Z,-8.46259,111.07736,108.429,-1.0,-1.0,1,118,119,0.0,0.0
2004-06-26T18:13:55.903000Z,-8.11086,110.24517,119.712,-1.0,-1.0,1,119,120,0.0,0.0
2004-06-26T20:57:53.805000Z,-7.93301,110.49933,116.829,-1.0,-1.0,1,120,121,0.0,0.0
2004-06-27T17:14:31.793000Z,-8.22678,110.32496,87.757,-1.0,-1.0,1,121,122,0.0,0.0
2004-06-27T19:57:17.743000Z,-8.54954,109.21779,34.308,-1.0,-1.0,1,122,123,0.0,0.0
2004-06-27T20:27:18.791000Z,-8.34666,110.50998,55.885,-1.0,-1.0,1,123,124,0.0,0.0
2004-06-27T23:46:25.414000Z,-8.2966,111.52443,116.5,-1.0,-1.0,1,124,125,0.0,0.0
2004-06-28T11:35:38.419000Z,-8.26859,110.29403,29.703,0.435,0.382,16,1,126,0.17,0.21
2004-06-28T13:38:42.085000Z,-8.34139,110.41146,82.075,-1.0,-1.0,1,126,127,0.0,0.0
2004-06-28T14:10:00.145000Z,-7.67415,110.45879,8.077,-1.0,-1.0,1,281,128,0.0,0.0
2004-06-29T13:42:48.850000Z,-7.85133,109.97272,116.335,-1.0,-1.0,1,270,129,0.0,0.0
2004-06-29T16:27:49.598000Z,-7.45352,109.91571,9.153,0.038,0.086,2,26,130,0.17,0.04
2004-06-30T20:22:51.785000Z,-7.8105,111.44209,13.965,-1.0,-1.0,1,261,131,0.0,0.0
2004-07-01T02:16:03.956000Z,-8.35523,110.35353,77.421,-1.0,-1.0,1,235,132,0.0,0.0
2004-07-01T11:36:48.576000Z,-8.0687,110.55921,109.829,-1.0,-1.0,1,231,133,0.0,0.0
2004-07-01T15:43:20.366000Z,-9.09097,110.32456,55.473,-1.0,-1.0,1,227,134,0.0,0.0
2004-07-01T17:22:16.450000Z,-8.8979,110.15006,32.069,0.509,0.358,5,3,135,0.27,0.27
2004-07-01T22:25:03.416000Z,-8.31241,110.87211,90.146,-1.0,-1.0,1,272,136,0.0,0.0
2004-07-01T22:29:46.129000Z,-8.85912,110.13802,35.049,-1.0,-1.0,1,207,137,0.0,0.0
2004-07-02T11:42:54.727000Z,-8.3572,109.76967,62.309,-1.0,-1.0,1,199,138,0.0,0.0
2004-07-02T22:25:33.546000Z,-8.40594,109.7283,48.226,-1.0,-1.0,1,278,139,0.0,0.0
2004-07-04T08:12:10.569000Z,-8.34139,110.89877,76.145,-1.0,-1.0,1,280,140,0.0,0.0
2004-07-04T16:36:40.806000Z,-8.89469,110.17132,24.919,-1.0,-1.0,1,282,141,0.0,0.0
2004-07-04T16:41:28.936000Z,-8.15433,110.22252,84.545,-1.0,-1.0,1,136,142,0.0,0.0
2004-07-04T19:56:51.823000Z,-8.28014,111.03516,21.995,-1.0,-1.0,1,142,143,0.0,0.0
2004-07-04T20:08:39.672000Z,-8.07099,110.7074,128.99,0.643,0.299,3,12,144,0.11,0.11
2004-07-04T22:51:48.055000Z,-8.90194,110.1464,31.376,0.475,0.366,5,3,145,0.31,0.47
2004-07-05T06:32:22.970000Z,-7.10274,109.9381,3.733,-1.0,-1.0,1,145,146,0.0,0.0
2004-07-05T11:43:59.299000Z,-8.26235,109.8577,81.251,-1.0,-1.0,1,146,147,0.0,0.0
2004-07-05T12:36:02.672000Z,-7.02271,108.75124,140.301,-1.0,-1.0,1,295,148,0.0,0.0
2004-07-05T14:54:48.036000Z,-8.38882,110.78962,21.954,-1.0,-1.0,1,148,149,0.0,0.0
2004-07-06T07:51:12.751000Z,-8.44678,110.73107,39.414,-1.0,-1.0,1,299,150,0.0,0.0
2004-07-06T11:06:42.308000Z,-8.24457,110.48802,82.775,-1.0,-1.0,1,301,151,0.0,0.0
2004-07-06T17:57:55.992000Z,-8.35062,111.07852,117.9,-1.0,-1.0,1,151,152,0.0,0.0
2004-07-06T18:56:16.790000Z,-7.19572,109.8921,-0.105,0.122,0.349,5,4,153,0.08,0.07
2004-07-07T16:17:54.210000Z,-7.76867,110.57212,18.145,-1.0,-1.0,1,75,154,0.0,0.0
2004-07-07T22:54:18.117000Z,-8.26499,110.65641,79.11,-1.0,-1.0,1,154,155,0.0,0.0
2004-07-08T18:37:39.174000Z,-8.31109,111.44326,11.001,-1.0,-1.0,1,311,156,0.0,0.0
2004-07-08T19:27:47.722000Z,-8.45666,111.10066,7.006,-1.0,-1.0,1,156,157,0.0,0.0
2004-07-08T22:40:39.782000Z,-7.51122,109.87042,11.148,0.356,0.705,13,2,158,0.15,0.2
2004-07-09T15:51:13.259000Z,-7.51802,109.87882,12.998,0.644,0.682,13,2,159,0.21,0.1
2004-07-09T19:59:07.051000Z,-5.84367,110.52316,0.871,-1.0,-1.0,1,79,160,0.0,0.0
2004-07-10T03:51:11.397000Z,-8.40594,110.95876,95.334,-1.0,-1.0,1,160,161,0.0,0.0
2004-07-10T06:01:44.672000Z,-7.79074,109.47551,5.977,-1.0,-1.0,1,80,162,0.0,0.0
2004-07-10T14:34:45.305000Z,-8.6681,110.24614,38.261,-1.0,-1.0,1,326,163,0.0,0.0
2004-07-10T18:20:12.329000Z,-8.58379,110.70717,71.533,-1.0,-1.0,1,163,164,0.0,0.0
2004-07-12T22:17:11.710000Z,-7.46041,109.62676,9.086,-1.0,-1.0,1,164,165,0.0,0.0
2004-07-13T11:36:55.807000Z,-8.03181,110.2399,127.288,-1.0,-1.0,1,165,166,0.0,0.0
2004-07-13T13:26:24.654000Z,-8.29331,111.13901,19.936,-1.0,-1.0,1,166,167,0.0,0.0
2004-07-13T18:23:33.043000Z,-7.22098,109.55719,0.665,-1.0,-1.0,1,29,168,0.0,0.0
2004-07-13T19:23:21.045000Z,-8.12535,110.57917,90.31,-1.0,-1.0,1,57,169,0.0,0.0
2004-07-14T05:14:43.244000Z,-9.14894,110.37257,15.942,-1.0,-1.0,1,169,170,0.0,0.0
2004-07-15T01:38:20.852000Z,-5.87265,110.53376,0.871,-1.0,-1.0,1,170,171,0.0,0.0
2004-07-15T04:56:42.898000Z,-8.71289,110.54465,89.981,-1.0,-1.0,1,171,172,0.0,0.0
2004-07-15T12:00:20.324000Z,-8.1899,110.39419,131.571,-1.0,-1.0,1,35,173,0.0,0.0
