time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc
1089725184.653795,-8.29331,111.139014,19.936361,0.263783,39,290.064,30.9674,1.97,3.0,2004-07-13 13:26:24.653795004+00:00
1089743013.042596,-7.220976,109.557186,0.664876,0.191389,14,194.724,6.01065,0.99,1.25,2004-07-13 18:23:33.042596102+00:00
1090089425.870811,-8.473131,110.704445,30.025065,0.233811,14,281.236,44.7653,3.53,6.17,2004-07-17 18:37:05.870810986+00:00
1090167451.322783,-7.655706,111.184538,0.994303,0.217356,13,224.248,5.95375,3.06,4.72,2004-07-18 16:17:31.322782993+00:00
1090171350.717942,-8.499478,110.688475,30.025065,0.213186,16,293.596,40.3003,3.44,4.36,2004-07-18 17:22:30.717941999+00:00
1090317829.376691,-8.338101,110.890108,21.99528,0.138638,16,283.773,17.7082,2.21,1.78,2004-07-20 10:03:49.376691103+00:00
1090417061.917159,-7.433401,109.600247,14.233154,0.188375,11,173.38,3.20116,1.63,1.26,2004-07-21 13:37:41.917159081+00:00
1090514299.535141,-7.103072,109.100087,26.730794,0.420478,45,291.346,53.1291,3.01,3.08,2004-07-22 16:38:19.535140991+00:00
1090619212.544072,-8.927621,110.404654,20.554036,0.449772,76,290.864,94.6625,2.67,3.87,2004-07-23 21:46:52.544071913+00:00
1090731143.355176,-8.747142,110.320729,37.107747,0.416792,34,277.958,77.8522,4.52,7.56,2004-07-25 04:52:23.355175972+00:00
1090776724.512582,-8.346664,110.494006,51.931966,0.321361,45,252.576,29.5308,3.02,1.98,2004-07-25 17:32:04.512582063+00:00
1090789931.461539,-8.38355,111.511342,126.217773,0.492109,73,289.097,69.6162,4.28,3.29,2004-07-25 21:12:11.461539030+00:00
1090877491.235844,-8.71816,110.677923,36.28418,0.26014,31,298.19,64.0378,3.06,3.98,2004-07-26 21:31:31.235843897+00:00
1090926485.718448,-7.645167,111.187179,1.07666,0.158754,12,226.205,5.95762,1.8,4.09,2004-07-27 11:08:05.718447924+00:00
1091098976.798208,-8.310436,110.269675,24.30127,0.205368,20,262.988,35.2294,2.55,3.94,2004-07-29 11:02:56.798207998+00:00
1091105836.166399,-8.910495,110.365988,30.025065,0.467493,61,289.765,93.7291,2.97,4.67,2004-07-29 12:57:16.166399002+00:00
1091141424.653846,-7.996245,110.895759,119.464518,0.38062,49,91.9036,7.23015,3.58,1.93,2004-07-29 22:50:24.653846025+00:00
1091153148.19553,-8.288041,110.300307,27.34847,0.234223,23,251.582,32.0277,2.59,3.05,2004-07-30 02:05:48.195529938+00:00
1091195734.113174,-7.985377,110.642001,11.968343,0.128284,12,154.537,2.32132,0.88,1.3,2004-07-30 13:55:34.113173962+00:00
1091212778.388045,-8.293969,110.262362,29.366211,0.22075,24,264.725,33.7068,2.44,2.97,2004-07-30 18:39:38.388045073+00:00
1091366355.266981,-7.634629,111.367926,6.676921,0.363704,29,248.523,25.8233,3.09,3.33,2004-08-01 13:19:15.266980885+00:00
1091368860.861148,-7.628042,111.332026,5.523926,0.186924,13,236.918,21.8922,3.08,3.56,2004-08-01 14:01:00.861148119+00:00
1091369820.374938,-7.645167,111.349339,1.982585,0.366807,39,228.614,23.7848,2.05,2.21,2004-08-01 14:17:00.374938011+00:00
1091370059.37952,-7.629359,111.334687,5.441569,0.336683,20,237.303,22.1782,2.42,2.82,2004-08-01 14:20:59.379519939+00:00
1091431783.7947,-7.110318,109.791067,3.62972,0.11785,9,164.998,10.0896,3.69,3.44,2004-08-02 07:29:43.794699907+00:00
1091468046.738487,-6.667683,110.920438,8.571126,0.10497,8,114.066,10.0545,2.0,5.08,2004-08-02 17:34:06.738487005+00:00
1091505626.74369,-8.270915,110.093978,75.444824,0.349004,53,231.339,41.1021,3.23,2.48,2004-08-03 04:00:26.743690014+00:00
1091550629.243538,-8.653609,111.129621,61.732422,0.448157,56,299.721,59.3416,4.21,4.3,2004-08-03 16:30:29.243537903+00:00
1091555688.199212,-8.496184,110.735759,36.407715,0.452369,73,282.269,38.7858,2.6,2.77,2004-08-03 17:54:48.199212074+00:00
1091586716.475299,-8.488939,110.74974,38.590169,0.203402,16,298.595,38.0754,3.47,3.34,2004-08-04 02:31:56.475298882+00:00
1091620702.887727,-6.956516,110.429321,-1.126383,0.148683,10,173.998,20.2288,1.57,1.32,2004-08-04 11:58:22.887727022+00:00
1091632240.319265,-8.876244,110.15,24.095378,0.277354,25,288.306,98.7108,4.2,7.47,2004-08-04 15:10:40.319264889+00:00
1091683472.867744,-8.318999,110.322259,37.519531,0.278627,21,270.131,35.0763,3.32,3.21,2004-08-05 05:24:32.867743969+00:00
1091737278.872083,-8.386185,110.496668,45.178711,0.201492,15,278.401,33.6874,3.78,3.21,2004-08-05 20:21:18.872082949+00:00
1092077651.073222,-7.271365,109.708146,9.003499,0.0223199,10,157.136,3.45761,4.36,3.41,2004-08-09 18:54:11.073221922+00:00
1092165362.221335,-7.226575,109.913387,1.014893,0.15624,8,100.674,5.21262,0.85,1.74,2004-08-10 19:16:02.221334934+00:00
1092165412.457766,-7.233821,109.912049,3.979736,0.164042,8,103.507,4.39702,0.9,1.68,2004-08-10 19:16:52.457766056+00:00
1092165561.296432,-7.231845,109.912052,4.020915,0.168734,8,102.743,4.61604,0.84,1.71,2004-08-10 19:19:21.296432018+00:00
1092165703.367224,-7.231845,109.912052,4.020915,0.165834,8,102.743,4.61604,0.85,1.7,2004-08-10 19:21:43.367223978+00:00
1092228633.349494,-8.396723,111.538009,120.782227,0.450983,70,288.131,72.8677,3.9,2.93,2004-08-11 12:50:33.349493980+00:00
1092298834.610083,-7.268401,109.711139,8.98291,0.088336,8,262.724,7.63782,2.15,2.52,2004-08-12 08:20:34.610083103+00:00
1092325606.21177,-9.094926,110.600729,14.541992,0.449747,39,299.896,106.46,4.54,7.98,2004-08-12 15:46:46.211770058+00:00
1092365798.552309,-8.860436,109.854028,21.295247,0.462592,30,286.655,109.904,3.98,11.26,2004-08-13 02:56:38.552309036+00:00
