idx,time_utc,latitude,longitude,depth,n_picks,n_stations,n_P,n_S
145,2004-05-27T17:47:24.135778Z,-8.79726475496767,110.44635103180714,31.73828125,23,13,12,11
146,2004-05-28T06:17:52.579764Z,-9.001509094550896,110.47179735836625,40.52734375,9,6,4,5
147,2004-05-28T10:00:37.468998Z,-8.844157152325963,111.43952479066472,31.73828125,29,19,16,13
148,2004-05-28T11:02:29.169156Z,-8.412771351332134,110.67535336830638,22.94921875,26,13,13,13
149,2004-05-28T13:53:51.805519Z,-8.412771351332134,110.67535336830638,22.94921875,32,16,16,16
150,2004-05-28T14:37:18.981864Z,-8.652925512701119,110.14092481755239,104.98046875,9,6,5,4
151,2004-05-28T15:54:55.119167Z,-7.788027870043372,110.38299924711575,14.16015625,10,5,5,5
152,2004-05-28T19:18:58.018046Z,-8.040329805607085,110.64977865105467,97.16796875,10,6,6,4
153,2004-05-28T19:30:04.416440Z,-8.280506733728481,110.84058738997322,116.69921875,14,9,8,6
154,2004-05-29T05:02:30.749054Z,-8.32840537790404,110.99322139818035,12.20703125,24,13,11,13
155,2004-05-29T07:05:09.311955Z,-7.739968444243405,110.62427704683165,38.57421875,47,30,29,18
156,2004-05-29T08:58:25.511104Z,-8.796507262128603,111.2611759802524,62.98828125,12,7,6,6
157,2004-05-29T10:33:52.812236Z,-8.88102973216958,111.00666620785026,23.92578125,17,12,7,10
158,2004-05-29T16:35:25.090691Z,-8.60481765937782,110.0900698751515,102.05078125,8,4,4,4
159,2004-05-29T21:50:50.383270Z,-8.892783244814385,111.1722324853875,29.78515625,24,14,12,12
160,2004-05-29T22:37:05.953673Z,-7.463099972056073,111.19523294434883,244.62890625,37,28,27,10
161,2004-05-30T08:43:41.536736Z,-8.268572386676281,110.28114187271697,45.41015625,13,7,6,7
162,2004-05-30T09:22:30.643973Z,-7.763980726167819,110.6750790782607,38.57421875,18,9,9,9
163,2004-05-30T12:29:17.621575Z,-8.26675262743167,111.7304976756967,0.48828125,20,12,10,10
164,2004-05-30T14:48:03.547726Z,-8.28057190443961,110.25570558710449,77.63671875,16,8,8,8
165,2004-05-30T16:13:20.016140Z,-8.833123803263597,110.12801751185128,125.48828125,25,17,17,8
166,2004-05-30T16:29:17.616507Z,-7.824037588088532,110.71320525688851,20.99609375,30,18,18,12
167,2004-05-30T17:38:10.387209Z,-8.279726775477162,109.64542340193569,124.51171875,25,17,12,13
168,2004-05-30T18:22:19.413322Z,-8.446001203091887,109.00917973731251,31.73828125,10,6,6,4
169,2004-05-30T21:38:12.502013Z,-8.809244095526157,110.33175778621239,31.73828125,39,22,21,18
170,2004-05-31T02:10:33.915932Z,-8.92942548692843,110.51001327275101,31.73828125,25,15,13,12
171,2004-05-31T04:21:01.612195Z,-7.4967109015586555,108.88575700408616,229.00390625,38,28,26,12
172,2004-05-31T08:49:30.721773Z,-8.820768863499623,111.13390636068026,22.94921875,34,19,19,15
173,2004-05-31T15:17:13.320351Z,-8.785196336121183,110.71371566686234,125.48828125,13,9,9,4
174,2004-05-31T17:58:57.443508Z,-8.399830749383137,109.63244400858437,83.49609375,16,10,10,6
175,2004-05-31T18:58:29.493435Z,-9.838559497947754,112.13158306938432,177.24609375,26,17,17,9
176,2004-05-31T19:51:35.722000Z,-8.26719144232722,111.5779553527994,31.73828125,11,6,6,5
177,2004-05-31T22:24:14.037239Z,-8.880976279620898,109.96242077915907,31.73828125,16,9,8,8
178,2004-05-31T23:09:34.920964Z,-8.92851662084019,111.32512318204142,2.44140625,81,62,58,23
179,2004-05-31T23:39:49.147785Z,-8.941435285386778,110.56096132231094,24.90234375,49,34,30,19
180,2004-06-01T00:29:21.216895Z,-8.79713993332004,110.19171270653159,62.98828125,11,7,6,5
181,2004-06-01T14:51:59.806900Z,-7.511251943436112,109.87543396450654,9.27734375,17,9,9,8
182,2004-06-01T16:09:49.926436Z,-8.7723752586754,111.31204701507315,62.98828125,10,5,5,5
183,2004-06-01T17:40:48.943990Z,-7.487205059855162,109.86277851837826,10.25390625,15,8,8,7
184,2004-06-01T18:11:50.090116Z,-8.7131408993252,110.35726009863465,38.57421875,16,9,8,8
185,2004-06-01T20:46:57.199985Z,-9.658488361390368,112.1179516965905,187.98828125,23,18,18,5
186,2004-06-01T22:04:01.570530Z,-9.658428267399602,112.13070947949676,187.98828125,28,19,18,10
187,2004-06-01T23:06:02.890952Z,-8.940529553065396,111.32515008511491,20.99609375,26,14,14,12
188,2004-06-01T23:45:54.009412Z,-7.823244597869042,111.34820691726894,60.05859375,10,6,5,5
189,2004-06-02T06:38:24.955747Z,-8.821278147042918,110.38268332898173,31.73828125,31,17,15,16
190,2004-06-02T11:43:40.990725Z,-8.735408684860648,111.668352840312,74.70703125,67,54,48,19
191,2004-06-02T11:48:19.212057Z,-8.280495804562495,110.85330203795196,89.35546875,37,20,19,18
192,2004-06-02T14:02:29.026584Z,-9.037552333155732,110.52275548130801,70.80078125,22,17,17,5
193,2004-06-02T21:40:17.140593Z,-8.652715160744398,111.04453896780554,128.41796875,9,5,5,4
194,2004-06-03T00:23:01.360747Z,-8.291712437011416,109.63268358514297,248.53515625,25,18,12,13
195,2004-06-03T09:19:53.299882Z,-8.316630323347367,110.28111484768826,29.78515625,17,10,7,10
196,2004-06-03T13:40:43.075443Z,-8.256588154591924,110.34471880166787,22.94921875,9,5,5,4
197,2004-06-03T14:46:31.590168Z,-8.941437035742348,110.54822436482459,22.94921875,29,16,14,15
198,2004-06-03T15:49:04.038764Z,-7.4967109015586555,112.12153299591384,200.68359375,9,6,6,3
199,2004-06-03T16:10:42.364085Z,-8.400291133477866,111.1332109148102,76.66015625,24,14,13,11
200,2004-06-03T16:59:52.516923Z,-8.844971155499174,111.0193503140743,35.64453125,15,9,7,8
201,2004-06-04T02:18:13.433496Z,-9.073527107887559,110.28066775261688,8.30078125,38,25,22,16
202,2004-06-04T03:28:38.529174Z,-7.907681058937088,109.84944427629105,22.94921875,29,17,14,15
203,2004-06-04T05:40:53.997133Z,-8.92730605867605,111.75809144311322,10.25390625,27,17,16,11
204,2004-06-04T11:58:25.858322Z,-8.977453138592699,110.35715566064515,70.80078125,22,13,10,12
205,2004-06-04T12:28:43.590112Z,-8.472802483464255,110.2555838678537,46.38671875,16,8,8,8
206,2004-06-04T15:22:48.376206Z,-10.850737125429895,109.77985571880217,93.26171875,15,10,8,7
207,2004-06-04T16:23:08.843819Z,-8.857316440787685,110.36993755025237,0.48828125,69,51,44,25
208,2004-06-04T16:29:07.955808Z,-8.280648815074276,110.49728755878849,122.55859375,35,20,19,16
209,2004-06-04T16:38:21.012884Z,-8.977475546953887,110.4335848204973,26.85546875,21,12,9,12
210,2004-06-04T16:39:16.900218Z,-9.04872929572429,111.2871755447578,31.73828125,19,15,5,14
211,2004-06-04T18:25:07.862763Z,-9.049473857542003,110.24246069005746,14.16015625,17,13,8,9
212,2004-06-04T18:53:10.807278Z,-8.268433749500977,110.10314168700855,39.55078125,24,13,13,11
213,2004-06-04T21:04:22.890611Z,-8.316421753797204,110.96777530141307,22.94921875,35,18,17,18
214,2004-06-05T01:03:21.951336Z,-8.59295362371196,110.26823130769436,62.98828125,10,6,4,6
215,2004-06-05T09:25:26.822092Z,-8.484323938351613,111.17150922870418,85.44921875,28,16,14,14
216,2004-06-05T14:53:26.443854Z,-8.795839811740063,111.54124419185379,31.73828125,13,7,7,6
217,2004-06-05T15:13:03.193552Z,-8.617031078777428,110.63726686314577,65.91796875,14,8,7,7
218,2004-06-05T16:11:34.557789Z,-9.286150891955515,112.12895757108916,0.48828125,11,7,7,4
219,2004-06-05T18:11:19.708549Z,-9.03663272750888,111.32536666539059,31.73828125,15,12,10,5
220,2004-06-05T19:02:33.425009Z,-9.037532868984986,110.62467795778473,70.80078125,13,10,10,3
221,2004-06-06T13:18:05.139191Z,-8.747893326881702,111.50292593363027,19.04296875,35,20,18,17
222,2004-06-06T19:57:49.590788Z,-8.88136871204466,110.49727755867887,25.87890625,10,6,4,6
223,2004-06-06T20:54:37.962774Z,-9.097610747164921,110.59921324766533,9.27734375,37,28,24,13
224,2004-06-07T08:46:55.700210Z,-9.04607964450467,112.1023943460619,39.55078125,9,6,3,6
225,2004-06-07T10:14:14.287295Z,-8.003730762138547,111.19611391150582,18.06640625,12,6,6,6
226,2004-06-07T12:06:34.051936Z,-8.953438053167142,110.39537733249257,68.84765625,46,26,24,22
227,2004-06-07T14:03:07.072956Z,-8.340116131257956,109.81059582968362,69.82421875,12,7,5,7
228,2004-06-07T14:43:24.662949Z,-8.880319248233132,111.38868308272012,24.90234375,17,10,7,10
229,2004-06-07T14:57:52.322887Z,-8.278764442583842,111.73053483403149,123.53515625,21,14,12,9
230,2004-06-08T08:42:48.723465Z,-7.0908735383683466,109.97745159644133,0.48828125,10,6,6,4
231,2004-06-08T11:03:49.693512Z,-8.80927900814294,110.4463491833937,33.69140625,63,38,33,30
232,2004-06-08T11:06:57.889022Z,-7.388618733575472,108.88615316770343,203.61328125,14,11,7,7
233,2004-06-08T14:47:44.023272Z,-9.085541096895012,110.72662967052284,31.73828125,24,18,10,14
234,2004-06-08T15:22:29.658241Z,-8.280546402755181,110.7897286340458,89.35546875,33,19,19,14
235,2004-06-08T22:31:52.403223Z,-8.639713729403962,111.52808884064773,16.11328125,26,15,13,13
236,2004-06-08T23:40:31.216801Z,-8.639713729403962,111.52808884064773,20.01953125,13,7,6,7
237,2004-06-09T00:36:28.136360Z,-8.77318901047907,110.30631218383117,32.71484375,17,11,7,10
